Language	Split	Size	Replacement	Model	Score
ger	45	500	with	2-CRF	63.541999999999994
ger	45	500	with	4-CRF	63.626
ger	45	500	with	3-CRF	64.302
ger	46	500	with	Morfessor	27.498
ger	46	500	with	0-CRF	51.147999999999996
ger	46	500	with	Seq2seq	51.238
ger	46	500	with	1-CRF	65.514
ger	46	500	with	4-CRF	65.962
ger	46	500	with	2-CRF	66.046
ger	46	500	with	3-CRF	66.138
ger	47	500	with	Morfessor	25.676
ger	47	500	with	Seq2seq	50.398
ger	47	500	with	0-CRF	50.558
ger	47	500	with	1-CRF	63.494
ger	47	500	with	2-CRF	64.138
ger	47	500	with	3-CRF	64.214
ger	47	500	with	4-CRF	64.906
ger	48	500	with	Morfessor	27.466
ger	48	500	with	Seq2seq	40.91
ger	48	500	with	0-CRF	52.532000000000004
ger	48	500	with	1-CRF	64.886
ger	48	500	with	3-CRF	65.392
ger	48	500	with	4-CRF	65.51400000000001
ger	48	500	with	2-CRF	65.792
ger	49	500	with	Morfessor	26.658
ger	49	500	with	Seq2seq	47.764
ger	49	500	with	0-CRF	48.884
ger	49	500	with	1-CRF	61.18
ger	49	500	with	4-CRF	61.97
ger	49	500	with	3-CRF	62.21
ger	49	500	with	2-CRF	62.4
ger	50	500	with	Morfessor	25.875999999999998
ger	50	500	with	Seq2seq	39.954
ger	50	500	with	0-CRF	48.089999999999996
ger	50	500	with	1-CRF	61.496
ger	50	500	with	3-CRF	63.29
ger	50	500	with	2-CRF	63.422
ger	50	500	with	4-CRF	64.182
ger	1	500	without	Morfessor	25.746
ger	1	500	without	Seq2seq	45.58
ger	1	500	without	0-CRF	46.296
ger	1	500	without	1-CRF	60.594
ger	1	500	without	4-CRF	61.304
ger	1	500	without	3-CRF	61.35
ger	1	500	without	2-CRF	61.634
ger	2	500	without	Morfessor	23.12
ger	2	500	without	0-CRF	45.37
ger	2	500	without	Seq2seq	46.193999999999996
ger	2	500	without	1-CRF	57.438
ger	2	500	without	2-CRF	57.748
ger	2	500	without	3-CRF	58.402
ger	2	500	without	4-CRF	59.596
ger	3	500	without	Morfessor	23.01
ger	3	500	without	Seq2seq	42.205999999999996
ger	3	500	without	0-CRF	46.76
ger	3	500	without	1-CRF	60.498
ger	3	500	without	2-CRF	61.572
ger	3	500	without	3-CRF	61.942
ger	3	500	without	4-CRF	62.193999999999996
ger	4	500	without	Morfessor	25.72
ger	4	500	without	Seq2seq	43.214
ger	4	500	without	0-CRF	47.928000000000004
ger	4	500	without	1-CRF	61.862
ger	4	500	without	2-CRF	62.944
ger	4	500	without	3-CRF	62.982
ger	4	500	without	4-CRF	63.72
ger	5	500	without	Morfessor	23.188
ger	5	500	without	Seq2seq	44.348
ger	5	500	without	0-CRF	45.333999999999996
ger	5	500	without	1-CRF	57.82
ger	5	500	without	3-CRF	59.422
ger	5	500	without	2-CRF	59.608
ger	5	500	without	4-CRF	60.208
ger	6	500	without	Morfessor	24.414
ger	6	500	without	Seq2seq	42.056
ger	6	500	without	0-CRF	46.366
ger	6	500	without	1-CRF	60.422
ger	6	500	without	2-CRF	60.858
ger	6	500	without	3-CRF	61.124
ger	6	500	without	4-CRF	61.472
ger	7	500	without	Morfessor	23.798
ger	7	500	without	Seq2seq	45.124
ger	7	500	without	0-CRF	46.598
ger	7	500	without	1-CRF	59.888
ger	7	500	without	2-CRF	62.682
ger	7	500	without	3-CRF	63.122
ger	7	500	without	4-CRF	63.148
ger	8	500	without	Morfessor	23.146
ger	8	500	without	Seq2seq	45.83
ger	8	500	without	0-CRF	48.014
ger	8	500	without	1-CRF	59.682
ger	8	500	without	4-CRF	61.234
ger	8	500	without	3-CRF	61.456
ger	8	500	without	2-CRF	61.86
ger	9	500	without	Morfessor	23.766000000000002
ger	9	500	without	0-CRF	45.852
ger	9	500	without	Seq2seq	47.01
ger	9	500	without	1-CRF	58.062
ger	9	500	without	2-CRF	59.25
ger	9	500	without	4-CRF	59.79
ger	9	500	without	3-CRF	60.112
ger	10	500	without	Morfessor	26.078
ger	10	500	without	Seq2seq	45.338
ger	10	500	without	0-CRF	45.652
ger	10	500	without	1-CRF	59.696
ger	10	500	without	3-CRF	60.69
ger	10	500	without	4-CRF	61.264
ger	10	500	without	2-CRF	61.268
ger	11	500	without	Morfessor	23.672
ger	11	500	without	Seq2seq	44.784
ger	11	500	without	0-CRF	47.208
ger	11	500	without	1-CRF	61.718
ger	11	500	without	3-CRF	61.754
ger	11	500	without	2-CRF	61.79
ger	11	500	without	4-CRF	62.142
ger	12	500	without	Morfessor	24.092
ger	12	500	without	Seq2seq	45.304
ger	12	500	without	0-CRF	47.428
ger	12	500	without	1-CRF	61.884
ger	12	500	without	4-CRF	62.402
ger	12	500	without	2-CRF	62.606
ger	12	500	without	3-CRF	62.699999999999996
ger	13	500	without	Morfessor	24.992
ger	13	500	without	Seq2seq	40.704
ger	13	500	without	0-CRF	45.488
ger	13	500	without	1-CRF	59.564
ger	13	500	without	3-CRF	60.62
ger	13	500	without	4-CRF	61.38
ger	13	500	without	2-CRF	61.384
ger	14	500	without	Morfessor	23.868
ger	14	500	without	Seq2seq	38.412
ger	14	500	without	0-CRF	45.342
ger	14	500	without	1-CRF	60.28
ger	14	500	without	4-CRF	60.794
ger	14	500	without	2-CRF	60.856
ger	14	500	without	3-CRF	60.876
ger	15	500	without	Morfessor	26.06
ger	15	500	without	Seq2seq	40.494
ger	15	500	without	0-CRF	46.572
ger	15	500	without	1-CRF	61.878
ger	15	500	without	2-CRF	62.29
ger	15	500	without	4-CRF	63.06
ger	15	500	without	3-CRF	63.254
ger	16	500	without	Morfessor	23.432000000000002
ger	16	500	without	Seq2seq	46.410000000000004
ger	16	500	without	0-CRF	50.6
ger	16	500	without	1-CRF	62.25
ger	16	500	without	3-CRF	63.424
ger	16	500	without	2-CRF	63.598
ger	16	500	without	4-CRF	63.806
ger	17	500	without	Morfessor	22.43
ger	17	500	without	Seq2seq	47.19
ger	17	500	without	0-CRF	48.048
ger	17	500	without	3-CRF	62.626
ger	17	500	without	1-CRF	62.792
ger	17	500	without	4-CRF	62.856
ger	17	500	without	2-CRF	63.362
ger	18	500	without	Morfessor	23.396
ger	18	500	without	Seq2seq	47.02
ger	18	500	without	0-CRF	47.06
ger	18	500	without	1-CRF	60.55
ger	18	500	without	2-CRF	61.034
ger	18	500	without	4-CRF	61.394
ger	18	500	without	3-CRF	61.574
ger	19	500	without	Morfessor	22.546
ger	19	500	without	Seq2seq	41.879999999999995
ger	19	500	without	0-CRF	44.568
ger	19	500	without	1-CRF	58.204
ger	19	500	without	4-CRF	58.474
ger	19	500	without	3-CRF	59.604
ger	19	500	without	2-CRF	60.29
ger	20	500	without	Morfessor	25.152
ger	20	500	without	0-CRF	44.99
ger	20	500	without	Seq2seq	45.89
ger	20	500	without	1-CRF	59.956
ger	20	500	without	2-CRF	60.096000000000004
ger	20	500	without	3-CRF	60.972
ger	20	500	without	4-CRF	61.35
ger	21	500	without	Morfessor	24.68
ger	21	500	without	Seq2seq	43.894
ger	21	500	without	0-CRF	47.176
ger	21	500	without	1-CRF	59.896
ger	21	500	without	2-CRF	61.75
ger	21	500	without	4-CRF	62.114000000000004
ger	21	500	without	3-CRF	62.344
ger	22	500	without	Morfessor	22.792
ger	22	500	without	Seq2seq	43.112
ger	22	500	without	0-CRF	44.072
ger	22	500	without	1-CRF	57.364
ger	22	500	without	2-CRF	58.354
ger	22	500	without	3-CRF	58.56
ger	22	500	without	4-CRF	59.176
ger	23	500	without	Morfessor	22.742
ger	23	500	without	0-CRF	46.922
ger	23	500	without	Seq2seq	47.676
ger	23	500	without	1-CRF	60.1
ger	23	500	without	4-CRF	60.339999999999996
ger	23	500	without	3-CRF	60.79
ger	23	500	without	2-CRF	61.08
ger	24	500	without	Morfessor	24.35
ger	24	500	without	Seq2seq	40.318
ger	24	500	without	0-CRF	48.322
ger	24	500	without	1-CRF	62.73
ger	24	500	without	2-CRF	62.782000000000004
ger	24	500	without	3-CRF	62.954
ger	24	500	without	4-CRF	63.436
ger	25	500	without	Morfessor	25.806
ger	25	500	without	0-CRF	47.504
ger	25	500	without	Seq2seq	48.124
ger	25	500	without	1-CRF	61.55
ger	25	500	without	2-CRF	62.327999999999996
ger	25	500	without	4-CRF	62.702
ger	25	500	without	3-CRF	63.025999999999996
ger	26	500	without	Morfessor	21.396
ger	26	500	without	0-CRF	43.402
ger	26	500	without	Seq2seq	44.428
ger	26	500	without	1-CRF	56.754
ger	26	500	without	2-CRF	58.806
ger	26	500	without	3-CRF	59.15
ger	26	500	without	4-CRF	59.764
ger	27	500	without	Morfessor	25.068
ger	27	500	without	Seq2seq	42.004
ger	27	500	without	0-CRF	48.078
ger	27	500	without	1-CRF	61.366
ger	27	500	without	2-CRF	62.344
ger	27	500	without	3-CRF	62.546
ger	27	500	without	4-CRF	62.552
ger	28	500	without	Morfessor	22.71
ger	28	500	without	Seq2seq	47.36
ger	28	500	without	0-CRF	47.891999999999996
ger	28	500	without	1-CRF	60.106
ger	28	500	without	2-CRF	61.95
ger	28	500	without	3-CRF	62.286
ger	28	500	without	4-CRF	62.57
ger	29	500	without	Morfessor	23.964
ger	29	500	without	Seq2seq	44.704
ger	29	500	without	0-CRF	49.404
ger	29	500	without	1-CRF	61.342
ger	29	500	without	3-CRF	62.27
ger	29	500	without	2-CRF	62.42
ger	29	500	without	4-CRF	62.492
ger	30	500	without	Morfessor	23.136
ger	30	500	without	Seq2seq	44.208
ger	30	500	without	0-CRF	44.664
ger	30	500	without	1-CRF	59.262
ger	30	500	without	2-CRF	59.848
ger	30	500	without	3-CRF	60.946
ger	30	500	without	4-CRF	61.018
ger	31	500	without	Morfessor	25.206
ger	31	500	without	Seq2seq	41.622
ger	31	500	without	0-CRF	46.128
ger	31	500	without	1-CRF	60.24
ger	31	500	without	2-CRF	61.342
ger	31	500	without	3-CRF	62.146
ger	31	500	without	4-CRF	62.257999999999996
ger	32	500	without	Morfessor	23.234
ger	32	500	without	Seq2seq	40.446
ger	32	500	without	0-CRF	49.026
ger	32	500	without	1-CRF	61.746
ger	32	500	without	3-CRF	62.006
ger	32	500	without	4-CRF	62.16
ger	32	500	without	2-CRF	62.4
ger	33	500	without	Morfessor	25.32
ger	33	500	without	Seq2seq	44.31
ger	33	500	without	0-CRF	46.924
ger	33	500	without	1-CRF	59.43
ger	33	500	without	4-CRF	60.62
ger	33	500	without	2-CRF	60.778
ger	33	500	without	3-CRF	61.246
ger	34	500	without	Morfessor	22.818
ger	34	500	without	0-CRF	45.716
ger	34	500	without	Seq2seq	46.286
ger	34	500	without	1-CRF	60.066
ger	34	500	without	4-CRF	60.132
ger	34	500	without	2-CRF	60.226
ger	34	500	without	3-CRF	60.821999999999996
ger	35	500	without	Morfessor	26.094
ger	35	500	without	0-CRF	45.128
ger	35	500	without	Seq2seq	46.832
ger	35	500	without	1-CRF	61.38
ger	35	500	without	4-CRF	61.586
ger	35	500	without	2-CRF	61.872
ger	35	500	without	3-CRF	62.012
ger	36	500	without	Morfessor	24.03
ger	36	500	without	Seq2seq	43.550000000000004
ger	36	500	without	0-CRF	46.172
ger	36	500	without	1-CRF	62.358
ger	36	500	without	3-CRF	63.378
ger	36	500	without	4-CRF	63.384
ger	36	500	without	2-CRF	63.59
ger	37	500	without	Morfessor	26.226
ger	37	500	without	Seq2seq	44.961999999999996
ger	37	500	without	0-CRF	46.536
ger	37	500	without	1-CRF	59.78
ger	37	500	without	2-CRF	61.462
ger	37	500	without	3-CRF	61.748000000000005
ger	37	500	without	4-CRF	61.954
ger	38	500	without	Morfessor	22.554
ger	38	500	without	Seq2seq	40.106
ger	38	500	without	0-CRF	44.958
ger	38	500	without	2-CRF	58.388
ger	38	500	without	1-CRF	58.546
ger	38	500	without	4-CRF	59.172
ger	38	500	without	3-CRF	59.346
ger	39	500	without	Morfessor	24.4
ger	39	500	without	0-CRF	47.88
ger	39	500	without	Seq2seq	51.776
ger	39	500	without	1-CRF	61.274
ger	39	500	without	2-CRF	63.208
ger	39	500	without	3-CRF	63.36
ger	39	500	without	4-CRF	63.804
ger	40	500	without	Morfessor	25.152
ger	40	500	without	Seq2seq	40.242
ger	40	500	without	0-CRF	46.15
ger	40	500	without	1-CRF	58.08
ger	40	500	without	3-CRF	60.042
ger	40	500	without	4-CRF	60.214
ger	40	500	without	2-CRF	60.41
ger	41	500	without	Morfessor	21.63
ger	41	500	without	0-CRF	46.711999999999996
ger	41	500	without	Seq2seq	46.724000000000004
ger	41	500	without	1-CRF	58.888
ger	41	500	without	2-CRF	60.256
ger	41	500	without	3-CRF	60.544000000000004
ger	41	500	without	4-CRF	61.116
ger	42	500	without	Morfessor	22.61
ger	42	500	without	Seq2seq	45.744
ger	42	500	without	0-CRF	47.372
ger	42	500	without	1-CRF	61.974000000000004
ger	42	500	without	2-CRF	62.525999999999996
ger	42	500	without	4-CRF	62.85
ger	42	500	without	3-CRF	62.97
ger	43	500	without	Morfessor	26.398
ger	43	500	without	Seq2seq	43.884
ger	43	500	without	0-CRF	49.164
ger	43	500	without	1-CRF	60.854
ger	43	500	without	2-CRF	61.168
ger	43	500	without	4-CRF	61.542
ger	43	500	without	3-CRF	61.604
ger	44	500	without	Morfessor	22.244
ger	44	500	without	Seq2seq	38.346
ger	44	500	without	0-CRF	43.99
ger	44	500	without	1-CRF	58.704
ger	44	500	without	2-CRF	59.574
ger	44	500	without	3-CRF	59.864
ger	44	500	without	4-CRF	60.354
ger	45	500	without	Morfessor	23.98
ger	45	500	without	Seq2seq	40.726
ger	45	500	without	0-CRF	47.058
ger	45	500	without	1-CRF	59.129999999999995
ger	45	500	without	2-CRF	59.726
ger	45	500	without	3-CRF	60.426
ger	45	500	without	4-CRF	60.596
ger	46	500	without	Morfessor	25.176
ger	46	500	without	Seq2seq	43.442
ger	46	500	without	0-CRF	46.426
ger	46	500	without	1-CRF	61.546
ger	46	500	without	3-CRF	61.878
ger	46	500	without	4-CRF	61.882000000000005
ger	46	500	without	2-CRF	62.07
ger	47	500	without	Morfessor	24.906
ger	47	500	without	Seq2seq	44.122
ger	47	500	without	0-CRF	47.088
ger	47	500	without	1-CRF	61.410000000000004
ger	47	500	without	3-CRF	62.236
ger	47	500	without	4-CRF	62.538
ger	47	500	without	2-CRF	62.660000000000004
ger	48	500	without	Morfessor	25.83
ger	48	500	without	Seq2seq	46.598
ger	48	500	without	0-CRF	47.64
ger	48	500	without	1-CRF	61.236000000000004
ger	48	500	without	2-CRF	62.086
ger	48	500	without	3-CRF	62.542
ger	48	500	without	4-CRF	62.554
ger	49	500	without	Morfessor	25.887999999999998
ger	49	500	without	Seq2seq	48.437999999999995
ger	49	500	without	0-CRF	48.592
ger	49	500	without	1-CRF	63.28
ger	49	500	without	2-CRF	63.624
ger	49	500	without	4-CRF	63.814
ger	49	500	without	3-CRF	64.246
ger	50	500	without	Morfessor	25.086
ger	50	500	without	Seq2seq	44.258
ger	50	500	without	0-CRF	46.23
ger	50	500	without	1-CRF	61.658
ger	50	500	without	4-CRF	62.525999999999996
ger	50	500	without	3-CRF	62.746
ger	50	500	without	2-CRF	62.862
ger	1	1000	with	Morfessor	30.782
ger	1	1000	with	0-CRF	56.53
ger	1	1000	with	Seq2seq	69.076
ger	1	1000	with	1-CRF	71.574
ger	1	1000	with	2-CRF	71.966
ger	1	1000	with	3-CRF	72.09400000000001
ger	1	1000	with	4-CRF	72.404
ger	2	1000	with	Morfessor	30.509999999999998
ger	2	1000	with	0-CRF	55.660000000000004
ger	2	1000	with	Seq2seq	66.994
ger	2	1000	with	3-CRF	70.148
ger	2	1000	with	2-CRF	70.288
ger	2	1000	with	4-CRF	70.468
ger	2	1000	with	1-CRF	70.478
